ipu,device_iterations,micro_batch_size,image_size,precision,avg_latency_ms,avg_throughput_fps,min_latency_ms,max_latency_ms,std_latency_ms,min_throughput_fps,max_throughput_fps,std_throughput_fps
True,1,1,64,single,1.059,456.471,1.000,2.000,0.236,381.891,526.790,14.248
True,1,1,96,single,1.257,433.985,1.000,2.000,0.437,408.404,478.693,9.388
True,1,1,128,single,1.485,386.718,1.000,2.000,0.500,369.803,427.032,8.347
True,1,1,160,single,1.782,344.084,1.000,2.000,0.413,309.360,382.099,8.328
True,1,1,192,single,2.069,310.290,2.000,3.000,0.254,292.001,342.784,6.015
True,1,1,224,single,2.426,240.420,2.000,9.000,0.860,101.525,297.005,39.407
True,1,1,256,single,2.792,158.608,2.000,5.000,0.473,108.140,257.968,37.523
True,1,1,288,single,3.208,145.710,3.000,5.000,0.430,90.922,223.923,40.183
True,1,1,320,single,3.842,123.390,3.000,7.000,0.521,76.622,187.791,35.171
True,1,1,352,single,4.248,121.179,4.000,5.000,0.432,84.559,181.297,30.293
True,1,1,384,single,5.673,138.067,4.000,7.000,1.045,54.579,170.827,24.986
True,1,1,416,single,5.317,107.614,5.000,6.000,0.465,88.199,150.739,14.287
True,1,1,448,single,5.822,132.548,5.000,9.000,0.989,66.133,150.414,18.404
True,1,1,480,single,8.267,81.262,6.000,29.000,2.849,32.048,135.095,13.688
True,1,1,512,single,7.030,90.465,6.000,8.000,0.297,80.644,99.888,3.392
True,1,1,544,single,8.564,87.475,7.000,18.000,2.390,50.817,114.047,15.005
True,1,1,576,single,9.119,59.090,8.000,10.000,0.493,30.851,78.131,6.434
False,1,1,32,single,25.053,43.245,20.794,227.510,20.379,4.394,47.996,4.828
False,1,1,64,single,25.160,43.365,20.859,244.414,22.053,4.090,47.853,4.886
False,1,1,96,single,24.961,43.478,20.812,229.957,20.639,4.348,47.963,4.858
False,1,1,128,single,25.403,42.843,20.780,237.627,21.376,4.207,48.035,5.060
False,1,1,160,single,24.626,44.570,20.830,243.451,22.100,4.107,47.924,5.386
False,1,1,192,single,24.916,43.735,20.919,239.730,21.605,4.170,47.719,4.879
False,1,1,224,single,25.397,42.919,20.854,243.222,21.924,4.110,47.844,4.909
False,1,1,256,single,25.037,43.685,20.868,234.384,21.249,4.265,47.832,5.361
False,1,1,288,single,25.412,43.331,20.696,239.938,21.849,4.167,48.229,6.050
False,1,1,320,single,23.710,45.268,20.674,180.648,16.073,5.534,48.282,5.436
False,1,1,352,single,25.536,42.858,21.063,236.107,21.439,4.234,47.391,5.410
False,1,1,384,single,25.112,43.487,20.787,239.591,21.643,4.173,47.991,5.134
False,1,1,416,single,25.399,42.939,20.899,239.551,21.610,4.173,47.766,5.063
False,1,1,448,single,24.541,43.956,20.846,200.318,17.903,4.991,47.885,5.283
False,1,1,480,single,25.623,42.464,21.094,230.999,20.809,4.328,47.324,5.161
False,1,1,512,single,26.042,44.722,20.473,245.521,28.304,4.066,48.753,6.412
False,1,1,544,single,25.077,44.053,20.892,264.156,24.096,3.785,47.776,5.306
False,1,1,576,single,24.732,44.165,20.800,229.167,20.733,4.363,47.993,5.464
False,1,1,608,single,25.761,42.951,20.960,236.480,22.013,4.228,47.626,5.928
False,1,1,640,single,24.384,44.678,20.626,212.867,19.272,4.696,48.394,5.685
False,1,1,672,single,26.167,43.118,21.027,309.766,28.676,3.227,47.472,5.721
False,1,1,704,single,26.063,41.785,23.091,224.126,20.307,4.461,43.235,5.369
False,1,1,736,single,27.431,39.170,24.727,208.994,18.637,4.783,40.381,4.794
False,1,1,768,single,31.850,37.312,25.687,323.277,38.123,3.089,38.869,5.500
False,1,1,800,single,29.574,35.610,27.365,185.341,15.953,5.394,36.493,3.770
False,1,1,832,single,31.764,33.987,28.571,257.027,23.086,3.890,34.955,4.053
False,1,1,864,single,32.748,32.172,30.204,176.925,15.873,5.650,33.067,3.726
False,1,1,896,single,34.427,30.956,31.379,217.473,19.894,4.597,31.830,3.647
False,1,1,928,single,37.364,28.148,33.854,212.101,18.581,4.713,29.495,3.100
False,1,1,960,single,39.661,26.583,36.710,226.239,20.132,4.419,27.210,2.922
False,1,1,992,single,42.338,24.719,39.644,226.483,19.532,4.414,25.201,2.572
False,1,1,1024,single,45.138,24.084,40.477,289.323,30.842,3.451,24.683,2.881
False,1,1,1056,single,46.864,22.200,44.043,231.828,19.539,4.312,22.683,2.228
False,1,1,1088,single,48.569,21.449,45.593,243.924,20.693,4.099,21.913,2.169
False,1,1,1120,single,50.744,20.425,48.009,232.552,19.361,4.299,20.795,2.011
False,1,1,1152,single,52.219,19.789,49.433,235.926,19.157,4.238,20.204,1.877
False,1,1,1184,single,55.080,18.628,52.580,194.788,15.775,5.132,19.005,1.740
False,1,1,1216,single,58.625,17.630,55.488,254.769,20.959,3.924,18.009,1.709
False,1,1,1248,single,60.673,17.012,57.369,248.175,20.553,4.028,17.408,1.651
False,1,1,1280,single,62.817,16.356,59.922,251.270,19.748,3.979,16.676,1.484
