image_size avg_latency_ms
32 24.847
64 25.593
96 25.178
128 25.641
160 25.358
192 25.433
224 25.691
256 24.875
288 25.006
320 24.585
352 24.837
384 24.562
416 24.695
448 25.558
480 25.425
512 24.964
544 25.527
576 23.2
608 25.233
640 24.696
672 24.64
704 24.872
736 24.474
768 23.671
800 25.031
832 28.113
864 25.575
896 26.171
928 27.219
960 27.862
992 30.766
1024 29.617
1056 30.792
1088 31.754
1120 33.225
1152 33.616
1184 36.288
1216 37.0
1248 41.166
1280 39.428
