image_size avg_throughput_fps
64 456.471
96 433.985
128 386.718
160 344.084
192 310.29
224 240.42
256 158.608
288 145.71
320 123.39
352 121.179
384 138.067
416 107.614
448 132.548
480 81.262
512 90.465
544 87.475
576 59.09
