image_size avg_throughput_fps
32 43.245
64 43.365
96 43.478
128 42.843
160 44.57
192 43.735
224 42.919
256 43.685
288 43.331
320 45.268
352 42.858
384 43.487
416 42.939
448 43.956
480 42.464
512 44.722
544 44.053
576 44.165
608 42.951
640 44.678
672 43.118
704 41.785
736 39.17
768 37.312
800 35.61
832 33.987
864 32.172
896 30.956
928 28.148
960 26.583
992 24.719
1024 24.084
1056 22.2
1088 21.449
1120 20.425
1152 19.789
1184 18.628
1216 17.63
1248 17.012
1280 16.356
