image_size avg_throughput_fps
64 530.715
96 523.075
128 483.633
160 458.628
192 437.005
224 403.311
256 367.934
288 355.043
320 328.241
352 309.133
384 289.576
416 267.92
448 251.565
480 236.525
512 220.459
544 205.002
576 206.241
608 182.028
640 180.665
672 165.686
704 159.764
736 153.691
768 141.922
800 133.726
832 125.107
864 120.749
896 115.331
928 110.882
960 103.317
992 101.979
1024 93.97
1056 93.994
1088 85.602
