image_size avg_latency_ms
64 1.059
96 1.257
128 1.485
160 1.782
192 2.069
224 2.426
256 2.792
288 3.208
320 3.842
352 4.248
384 5.673
416 5.317
448 5.822
480 8.267
512 7.03
544 8.564
576 9.119
