image_size avg_latency_ms
32 25.053
64 25.16
96 24.961
128 25.403
160 24.626
192 24.916
224 25.397
256 25.037
288 25.412
320 23.71
352 25.536
384 25.112
416 25.399
448 24.541
480 25.623
512 26.042
544 25.077
576 24.732
608 25.761
640 24.384
672 26.167
704 26.063
736 27.431
768 31.85
800 29.574
832 31.764
864 32.748
896 34.427
928 37.364
960 39.661
992 42.338
1024 45.138
1056 46.864
1088 48.569
1120 50.744
1152 52.219
1184 55.08
1216 58.625
1248 60.673
1280 62.817
